product,category,hist_n,hist_cv,used_model,fallback_mode,residual_std,disable_stabilization,disable_clamping,noise_injection,direct_mode,features_count,time_steps
meja resepsionis dr 01,Meja Resepsionis,1,0.0,False,simple_random_walk,,,,,,,
meja serbaguna mft 01,Meja Serbaguna,1,0.0,False,simple_random_walk,,,,,,,
meja serbaguna mft 02,Meja Serbaguna,2,0.24999993750001562,True,,1.0,False,False,True,True,18.0,1.0
meja siswa ll 504 tc,Meja Siswa,1,0.0,False,simple_random_walk,,,,,,,
meja siswa ll 506 tc,Meja Kerja,3,1.0420520711682788,False,simple_random_walk,,,,,,,
meja siswa ll 507 tc,Meja Siswa,1,0.0,False,simple_random_walk,,,,,,,
meja siswa ll 508 tc,Meja Siswa,1,0.0,False,simple_random_walk,,,,,,,
meja siswa ll 524 tc,Meja Siswa,1,0.0,False,simple_random_walk,,,,,,,
meja tamu cft 04,Meja Tamu,1,0.0,False,simple_random_walk,,,,,,,
meja tamu cft 05,Meja Tamu,2,0.0,True,,0.0,False,False,True,True,18.0,1.0
meja tamu cft 06,Meja Tamu,1,0.0,False,simple_random_walk,,,,,,,
meja workshop et 01a,Meja Workshop,1,0.0,False,simple_random_walk,,,,,,,
meja workshop et 01b,Meja Workshop,1,0.0,False,simple_random_walk,,,,,,,
meja workstation ws 03,Meja Workstation ,3,0.6428242588753715,False,simple_random_walk,,,,,,,
meja workstation ws 05 1200,Meja Workstation ,2,0.6666665555555741,True,,4.0,False,False,True,True,18.0,1.0
meja workstation ws 05 2400,Meja Workstation ,4,0.7705515577332326,True,,3.082207001484488,False,False,True,True,18.0,2.0
meja workstation ws 05 3600,Meja Workstation ,1,0.0,False,simple_random_walk,,,,,,,
mobil drawer md 01 400,Laci,1,0.0,False,simple_random_walk,,,,,,,
mobil drawer md 02 400,Laci,1,0.0,False,simple_random_walk,,,,,,,
mobil drawer md 03 400,Laci,1,0.0,False,simple_random_walk,,,,,,,
papan pengumuman ib 01 1800,Papan Pengumuman,5,0.22785945796600307,True,,0.9797958971132712,False,False,True,True,18.0,2.0
papan pengumuman ib 02 1800,Papan Pengumuman,1,0.0,False,simple_random_walk,,,,,,,
papan tulis wbs 01,Papan Tulis,1,0.0,False,simple_random_walk,,,,,,,
papan tulis wbs 02,Papan Tulis,10,0.9693909657891697,True,,20.163333057805698,False,False,True,True,18.0,2.0
papan tulis wbs 03,Papan Tulis,1,0.0,False,simple_random_walk,,,,,,,
papan tulis wbs 04,Papan Tulis,1,0.0,False,simple_random_walk,,,,,,,
partisi u,Meja Kerja,1,0.0,False,simple_random_walk,,,,,,,
rak buku bs 01,Rak Buku,4,0.657342052046168,True,,2.958039891549808,False,False,True,True,18.0,2.0
rak buku bs 02,Rak Buku,3,0.6523953698736915,False,simple_random_walk,,,,,,,
rak buku bs 02 a,Rak Buku,1,0.0,False,simple_random_walk,,,,,,,
rak display dc 02 b,Rak Buku,1,0.0,False,simple_random_walk,,,,,,,
